"geo_code","geo","time","values"
"EU27","European Union (27 countries)",2001,1
"EU28","European Union (28 countries)",2001,1
"FI","Finland",2001,1.2
"FR","France",2001,3
"HR","Croatia",2001,4.3
"HU","Hungary",2001,1
"IE","Ireland",2001,10.2
"IS","Iceland",2001,3
"IT","Italy",2001,0.7
"LI","Liechtenstein",2001,14.5
"LT","Lithuania",2001,-6.7
"LU","Luxembourg",2001,7.5
"LV","Latvia",2001,-8.2
"ME","Montenegro",2001,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2001,-1.3
"MT","Malta",2001,5.5
"NL","Netherlands",2001,3.5
"NO","Norway",2001,1.8
"PL","Poland",2001,-0.4
"PT","Portugal",2001,5.4
"RO","Romania",2001,-25.2
"RS","Serbia",2001,2.4
"RU","Russia",2001,2
"SE","Sweden",2001,3.2
"SI","Slovenia",2001,2.5
"SK","Slovakia",2001,0.2
"TR","Turkey",2001,0
"UK","United Kingdom",2001,2.9
"AL","Albania",2002,-3.4
"AT","Austria",2002,4.3
"BA","Bosnia and Herzegovina",2002,3
"BE","Belgium",2002,3.7
"BG","Bulgaria",2002,-2.2
"CH","Switzerland",2002,6.5
"CY","Cyprus",2002,7.7
"CZ","Czech Republic",2002,0.7
"DE","Germany (until 1990 former territory of the FRG)",2002,2.7
"DK","Denmark",2002,1.8
"EA18","Euro area (18 countries)",2002,4.7
"EA19","Euro area (19 countries)",2002,4.7
"EE","Estonia",2002,-2.2
"EL","Greece",2002,2.6
"ES","Spain",2002,17.9
"EU27","European Union (27 countries)",2002,3.2
"EU28","European Union (28 countries)",2002,3.2
"FI","Finland",2002,1
"FR","France",2002,3.1
"HR","Croatia",2002,2.4
"HU","Hungary",2002,0.3
"IE","Ireland",2002,8.6
"IS","Iceland",2002,-1.2
"IT","Italy",2002,2.8
"LI","Liechtenstein",2002,4.7
"LT","Lithuania",2002,-3.4
"LU","Luxembourg",2002,5.9
"LV","Latvia",2002,-4
"ME","Montenegro",2002,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2002,-12.2
"MT","Malta",2002,4.4
"NL","Netherlands",2002,1.7
"NO","Norway",2002,3.8
"PL","Poland",2002,-0.5
"PT","Portugal",2002,4
"RO","Romania",2002,-6.8
"RS","Serbia",2002,1.8
"RU","Russia",2002,3.1
"SE","Sweden",2002,3.5
"SI","Slovenia",2002,1.1
"SK","Slovakia",2002,-0.6
"TR","Turkey",2002,0
"UK","United Kingdom",2002,3.4
"AL","Albania",2003,-3.9
"AT","Austria",2003,5.2
"BA","Bosnia and Herzegovina",2003,0.9
"BE","Belgium",2003,3.2
"BG","Bulgaria",2003,-2
"CH","Switzerland",2003,5.7
"CY","Cyprus",2003,8.7
"CZ","Czech Republic",2003,2
"DE","Germany (until 1990 former territory of the FRG)",2003,1.7
"DK","Denmark",2003,1.3
"EA18","Euro area (18 countries)",2003,4.9
"EA19","Euro area (19 countries)",2003,4.8
"EE","Estonia",2003,-2.8
"EL","Greece",2003,2.4
"ES","Spain",2003,15.7
"EU27","European Union (27 countries)",2003,3.6
"EU28","European Union (28 countries)",2003,3.6
"FI","Finland",2003,1.1
"FR","France",2003,3.2
"HR","Croatia",2003,3.1
"HU","Hungary",2003,1.5
"IE","Ireland",2003,8.1
"IS","Iceland",2003,-0.7
"IT","Italy",2003,7.1
"LI","Liechtenstein",2003,8.8
"LT","Lithuania",2003,-6.3
"LU","Luxembourg",2003,12
"LV","Latvia",2003,-5.1
"ME","Montenegro",2003,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2003,-1.4
"MT","Malta",2003,4.2
"NL","Netherlands",2003,0.4
"NO","Norway",2003,2.5
"PL","Poland",2003,-0.4
"PT","Portugal",2003,2.4
"RO","Romania",2003,-2.4
"RS","Serbia",2003,0.6
"RU","Russia",2003,-0.8
"SE","Sweden",2003,3.2
"SI","Slovenia",2003,1.8
"SK","Slovakia",2003,-0.5
"TR","Turkey",2003,0.1
"UK","United Kingdom",2003,3.5
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2003,2.7
"AL","Albania",2004,-3.1
"AT","Austria",2004,6.6
"BA","Bosnia and Herzegovina",2004,0.7
"BE","Belgium",2004,3.2
"BG","Bulgaria",2004,-2.1
"CH","Switzerland",2004,5.1
"CY","Cyprus",2004,9.7
"CZ","Czech Republic",2004,1.3
"DE","Germany (until 1990 former territory of the FRG)",2004,1
"DK","Denmark",2004,0.9
"EA18","Euro area (18 countries)",2004,4.6
"EA19","Euro area (19 countries)",2004,4.4
"EE","Estonia",2004,-2.7
"EL","Greece",2004,2.6
"ES","Spain",2004,15.5
"EU27","European Union (27 countries)",2004,3.4
"EU28","European Union (28 countries)",2004,3.4
"FI","Finland",2004,1.3
"FR","France",2004,3.2
"HR","Croatia",2004,3.4
"HU","Hungary",2004,1.8
"IE","Ireland",2004,12.2
"IS","Iceland",2004,2
"IT","Italy",2004,6.3
"LI","Liechtenstein",2004,3.8
"LT","Lithuania",2004,-9.5
"LU","Luxembourg",2004,9.6
"LV","Latvia",2004,-6.8
"ME","Montenegro",2004,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2004,-0.1
"MT","Malta",2004,4.8
"NL","Netherlands",2004,-0.6
"NO","Norway",2004,2.9
"PL","Poland",2004,-0.2
"PT","Portugal",2004,1.4
"RO","Romania",2004,-4.5
"RS","Serbia",2004,1.6
"RU","Russia",2004,0.7
"SE","Sweden",2004,2.8
"SI","Slovenia",2004,0.9
"SK","Slovakia",2004,-0.2
"TR","Turkey",2004,0.1
"UK","United Kingdom",2004,4.3
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2004,-1.8
"AL","Albania",2005,-2.6
"AT","Austria",2005,6.1
"BA","Bosnia and Herzegovina",2005,0
"BE","Belgium",2005,4.7
"BG","Bulgaria",2005,-2.2
"CH","Switzerland",2005,4.3
"CY","Cyprus",2005,11
"CZ","Czech Republic",2005,3
"DE","Germany (until 1990 former territory of the FRG)",2005,1
"DK","Denmark",2005,1.2
"EA18","Euro area (18 countries)",2005,4
"EA19","Euro area (19 countries)",2005,3.8
"EE","Estonia",2005,-3.8
"EL","Greece",2005,2.9
"ES","Spain",2005,14.5
"EU27","European Union (27 countries)",2005,3.1
"EU28","European Union (28 countries)",2005,3.1
"FI","Finland",2005,1.7
"FR","France",2005,3
